id,title,context,question,answers,text
5a4857df84b8a4001a7e783f,Imperial_College_London,"In 1988 Imperial merged with St Mary's Hospital Medical School, becoming The Imperial College of Science, Technology and Medicine. In 1995 Imperial launched its own academic publishing house, Imperial College Press, in partnership with World Scientific. Imperial merged with the National Heart and Lung Institute in 1995 and the Charing Cross and Westminster Medical School, Royal Postgraduate Medical School (RPMS) and the Institute of Obstetrics and Gynaecology in 1997. In the same year the Imperial College School of Medicine was formally established and all of the property of Charing Cross and Westminster Medical School, the National Heart and Lung Institute and the Royal Postgraduate Medical School were transferred to Imperial as the result of the Imperial College Act 1997. In 1998 the Sir Alexander Fleming Building was opened by Queen Elizabeth II to provide a headquarters for the College's medical and biomedical research.",What school was founded by Sit Alexander Fleming?,"{'text': [], 'answer_start': []}","In 1988 Imperial merged with St Mary's Hospital Medical School, becoming The Imperial College of Science, Technology and Medicine. In 1995 Imperial launched its own academic publishing house, Imperial College Press, in partnership with World Scientific. Imperial merged with the National Heart and Lung Institute in 1995 and the Charing Cross and Westminster Medical School, Royal Postgraduate Medical School (RPMS) and the Institute of Obstetrics and Gynaecology in 1997. In the same year the Imperial College School of Medicine was formally established and all of the property of Charing Cross and Westminster Medical School, the National Heart and Lung Institute and the Royal Postgraduate Medical School were transferred to Imperial as the result of the Imperial College Act 1997. In 1998 the Sir Alexander Fleming Building was opened by Queen Elizabeth II to provide a headquarters for the College's medical and biomedical research. <br> <hr size=""2""> <strong>Question: What school was founded by Sit Alexander Fleming?</Strong>"
5ad22547d7d075001a428534,Spectre_(2015_film),"Bond and Swann return to London where they meet M, Bill Tanner, Q, and Moneypenny; they intend to arrest C and stop Nine Eyes from going online. Swann leaves Bond, telling him she cannot be part of a life involving espionage, and is subsequently kidnapped. On the way, the group is ambushed and Bond is kidnapped, but the rest still proceed with the plan. After Q succeeds in preventing the Nine Eyes from going online, a brief struggle between M and C ends with the latter falling to his death. Meanwhile, Bond is taken to the old MI6 building, which is scheduled for demolition, and frees himself. Moving throughout the ruined labyrinth, he encounters a disfigured Blofeld, who tells him that he has three minutes to escape the building before explosives are detonated or die trying to save Swann. Bond finds Swann and the two escape by boat as the building collapses. Bond shoots down Blofeld's helicopter, which crashes onto Westminster Bridge. As Blofeld crawls away from the wreckage, Bond confronts him but ultimately leaves him to be arrested by M. Bond leaves the bridge with Swann.",Who prevents Ten Eyes from going online?,"{'text': [], 'answer_start': []}","Bond and Swann return to London where they meet M, Bill Tanner, Q, and Moneypenny; they intend to arrest C and stop Nine Eyes from going online. Swann leaves Bond, telling him she cannot be part of a life involving espionage, and is subsequently kidnapped. On the way, the group is ambushed and Bond is kidnapped, but the rest still proceed with the plan. After Q succeeds in preventing the Nine Eyes from going online, a brief struggle between M and C ends with the latter falling to his death. Meanwhile, Bond is taken to the old MI6 building, which is scheduled for demolition, and frees himself. Moving throughout the ruined labyrinth, he encounters a disfigured Blofeld, who tells him that he has three minutes to escape the building before explosives are detonated or die trying to save Swann. Bond finds Swann and the two escape by boat as the building collapses. Bond shoots down Blofeld's helicopter, which crashes onto Westminster Bridge. As Blofeld crawls away from the wreckage, Bond confronts him but ultimately leaves him to be arrested by M. Bond leaves the bridge with Swann. <br> <hr size=""2""> <strong>Question: Who prevents Ten Eyes from going online?</Strong>"
56e17841cd28a01900c67998,Boston,"Between 1999 and 2006, Bicycling magazine named Boston three times as one of the worst cities in the US for cycling; regardless, it has one of the highest rates of bicycle commuting. In 2008, as a consequence of improvements made to bicycling conditions within the city, the same magazine put Boston on its ""Five for the Future"" list as a ""Future Best City"" for biking, and Boston's bicycle commuting percentage increased from 1% in 2000 to 2.1% in 2009. The bikeshare program called Hubway launched in late July 2011, logging more than 140,000 rides before the close of its first season. The neighboring municipalities of Cambridge, Somerville, and Brookline joined the Hubway program in summer 2012.",What magazine put Boston on its Future best City For Biking list?,"{'text': ['Bicycling magazine'], 'answer_start': [23]}","Between 1999 and 2006, Bicycling magazine named Boston three times as one of the worst cities in the US for cycling; regardless, it has one of the highest rates of bicycle commuting. In 2008, as a consequence of improvements made to bicycling conditions within the city, the same magazine put Boston on its ""Five for the Future"" list as a ""Future Best City"" for biking, and Boston's bicycle commuting percentage increased from 1% in 2000 to 2.1% in 2009. The bikeshare program called Hubway launched in late July 2011, logging more than 140,000 rides before the close of its first season. The neighboring municipalities of Cambridge, Somerville, and Brookline joined the Hubway program in summer 2012. <br> <hr size=""2""> <strong>Question: What magazine put Boston on its Future best City For Biking list?</Strong>"
5acd225107355d001abf3630,Aspirated_consonant,"Preaspirated stops also occur in most Sami languages; for example, in North Sami, the unvoiced stop and affricate phonemes /p/, /t/, /ts/, /tʃ/, /k/ are pronounced preaspirated ([ʰp], [ʰt] [ʰts], [ʰtʃ], [ʰk]) when they occur in medial or final position.",Unaspirated stops occur in which languages?,"{'text': [], 'answer_start': []}","Preaspirated stops also occur in most Sami languages; for example, in North Sami, the unvoiced stop and affricate phonemes /p/, /t/, /ts/, /tʃ/, /k/ are pronounced preaspirated ([ʰp], [ʰt] [ʰts], [ʰtʃ], [ʰk]) when they occur in medial or final position. <br> <hr size=""2""> <strong>Question: Unaspirated stops occur in which languages?</Strong>"
5ad567b85b96ef001a10ae01,Macintosh,"In recent years, Apple has seen a significant boost in sales of Macs. This has been attributed, in part, to the success of the iPod and the iPhone, a halo effect whereby satisfied iPod or iPhone owners purchase more Apple products, and Apple has since capitalized on that with the iCloud cloud service that allows users to seamlessly sync data between these devices and Macs. Nonetheless, like other personal computer manufacturers, the Macintosh lines have been hurt by consumer trend towards smartphones and tablet computers (particularly Apple's own iPhone and iPad, respectively) as the computing devices of choice among consumers.",Which smartphone has hurt personal computer manufacterers the least?,"{'text': [], 'answer_start': []}","In recent years, Apple has seen a significant boost in sales of Macs. This has been attributed, in part, to the success of the iPod and the iPhone, a halo effect whereby satisfied iPod or iPhone owners purchase more Apple products, and Apple has since capitalized on that with the iCloud cloud service that allows users to seamlessly sync data between these devices and Macs. Nonetheless, like other personal computer manufacturers, the Macintosh lines have been hurt by consumer trend towards smartphones and tablet computers (particularly Apple's own iPhone and iPad, respectively) as the computing devices of choice among consumers. <br> <hr size=""2""> <strong>Question: Which smartphone has hurt personal computer manufacterers the least?</Strong>"
5726ddf15951b619008f809c,Mali,"Efforts have been made to improve nutrition, and reduce associated health problems, by encouraging women to make nutritious versions of local recipes. For example, the International Crops Research Institute for the Semi-Arid Tropics (ICRISAT) and the Aga Khan Foundation, trained women's groups to make equinut, a healthy and nutritional version of the traditional recipe di-dèguè (comprising peanut paste, honey and millet or rice flour). The aim was to boost nutrition and livelihoods by producing a product that women could make and sell, and which would be accepted by the local community because of its local heritage.",ICRISTAT had success in teaching women how to make what product of nutritional value?,"{'text': ['equinut'], 'answer_start': [303]}","Efforts have been made to improve nutrition, and reduce associated health problems, by encouraging women to make nutritious versions of local recipes. For example, the International Crops Research Institute for the Semi-Arid Tropics (ICRISAT) and the Aga Khan Foundation, trained women's groups to make equinut, a healthy and nutritional version of the traditional recipe di-dèguè (comprising peanut paste, honey and millet or rice flour). The aim was to boost nutrition and livelihoods by producing a product that women could make and sell, and which would be accepted by the local community because of its local heritage. <br> <hr size=""2""> <strong>Question: ICRISTAT had success in teaching women how to make what product of nutritional value?</Strong>"
56d0e08817492d1400aab66e,Buddhism,"Two major extant branches of Buddhism are generally recognized by scholars: Theravada (""The School of the Elders"") and Mahayana (""The Great Vehicle""). Vajrayana, a body of teachings attributed to Indian siddhas, may be viewed as a third branch or merely a part of Mahayana. Theravada has a widespread following in Sri Lanka and Southeast Asia. Mahayana which includes the traditions of Pure Land, Zen, Nichiren Buddhism, Shingon, and Tiantai (Tendai) is found throughout East Asia. Tibetan Buddhism, which preserves the Vajrayana teachings of eighth century India, is practiced in regions surrounding the Himalayas, Mongolia and Kalmykia. Buddhists number between an estimated 488 million[web 1] and 535 million, making it one of the world's major religions.",What minor branch is sometimes attributed to Mahayana?,"{'text': ['Vajrayana'], 'answer_start': [151]}","Two major extant branches of Buddhism are generally recognized by scholars: Theravada (""The School of the Elders"") and Mahayana (""The Great Vehicle""). Vajrayana, a body of teachings attributed to Indian siddhas, may be viewed as a third branch or merely a part of Mahayana. Theravada has a widespread following in Sri Lanka and Southeast Asia. Mahayana which includes the traditions of Pure Land, Zen, Nichiren Buddhism, Shingon, and Tiantai (Tendai) is found throughout East Asia. Tibetan Buddhism, which preserves the Vajrayana teachings of eighth century India, is practiced in regions surrounding the Himalayas, Mongolia and Kalmykia. Buddhists number between an estimated 488 million[web 1] and 535 million, making it one of the world's major religions. <br> <hr size=""2""> <strong>Question: What minor branch is sometimes attributed to Mahayana?</Strong>"
572a496c7a1753140016ae7b,Ottoman_Empire,"However, the collapsing Ottoman economy could not sustain the fleet's strength for too long. Sultan Abdülhamid II distrusted the admirals who sided with the reformist Midhat Pasha, and claimed that the large and expensive fleet was of no use against the Russians during the Russo-Turkish War. He locked most of the fleet inside the Golden Horn, where the ships decayed for the next 30 years. Following the Young Turk Revolution in 1908, the Committee of Union and Progress sought to develop a strong Ottoman naval force. The Ottoman Navy Foundation was established in 1910 to buy new ships through public donations.",When was the Young Turk Revolution?,"{'text': ['1908'], 'answer_start': [431]}","However, the collapsing Ottoman economy could not sustain the fleet's strength for too long. Sultan Abdülhamid II distrusted the admirals who sided with the reformist Midhat Pasha, and claimed that the large and expensive fleet was of no use against the Russians during the Russo-Turkish War. He locked most of the fleet inside the Golden Horn, where the ships decayed for the next 30 years. Following the Young Turk Revolution in 1908, the Committee of Union and Progress sought to develop a strong Ottoman naval force. The Ottoman Navy Foundation was established in 1910 to buy new ships through public donations. <br> <hr size=""2""> <strong>Question: When was the Young Turk Revolution?</Strong>"
572634c8271a42140099d766,Freemasonry,"In contrast to Catholic allegations of rationalism and naturalism, Protestant objections are more likely to be based on allegations of mysticism, occultism, and even Satanism. Masonic scholar Albert Pike is often quoted (in some cases misquoted) by Protestant anti-Masons as an authority for the position of Masonry on these issues. However, Pike, although undoubtedly learned, was not a spokesman for Freemasonry and was also controversial among Freemasons in general. His writings represented his personal opinion only, and furthermore an opinion grounded in the attitudes and understandings of late 19th century Southern Freemasonry of the USA. Notably, his book carries in the preface a form of disclaimer from his own Grand Lodge. No one voice has ever spoken for the whole of Freemasonry.",Who has spoke for all Freemasons?,"{'text': ['No one'], 'answer_start': [736]}","In contrast to Catholic allegations of rationalism and naturalism, Protestant objections are more likely to be based on allegations of mysticism, occultism, and even Satanism. Masonic scholar Albert Pike is often quoted (in some cases misquoted) by Protestant anti-Masons as an authority for the position of Masonry on these issues. However, Pike, although undoubtedly learned, was not a spokesman for Freemasonry and was also controversial among Freemasons in general. His writings represented his personal opinion only, and furthermore an opinion grounded in the attitudes and understandings of late 19th century Southern Freemasonry of the USA. Notably, his book carries in the preface a form of disclaimer from his own Grand Lodge. No one voice has ever spoken for the whole of Freemasonry. <br> <hr size=""2""> <strong>Question: Who has spoke for all Freemasons?</Strong>"
5729a26f3f37b3190047852c,Insect,"Insects play important roles in biological research. For example, because of its small size, short generation time and high fecundity, the common fruit fly Drosophila melanogaster is a model organism for studies in the genetics of higher eukaryotes. D. melanogaster has been an essential part of studies into principles like genetic linkage, interactions between genes, chromosomal genetics, development, behavior and evolution. Because genetic systems are well conserved among eukaryotes, understanding basic cellular processes like DNA replication or transcription in fruit flies can help to understand those processes in other eukaryotes, including humans. The genome of D. melanogaster was sequenced in 2000, reflecting the organism's important role in biological research. It was found that 70% of the fly genome is similar to the human genome, supporting the evolution theory.",What is a common insect used for research purposes?,"{'text': ['fruit fly Drosophila melanogaster'], 'answer_start': [146]}","Insects play important roles in biological research. For example, because of its small size, short generation time and high fecundity, the common fruit fly Drosophila melanogaster is a model organism for studies in the genetics of higher eukaryotes. D. melanogaster has been an essential part of studies into principles like genetic linkage, interactions between genes, chromosomal genetics, development, behavior and evolution. Because genetic systems are well conserved among eukaryotes, understanding basic cellular processes like DNA replication or transcription in fruit flies can help to understand those processes in other eukaryotes, including humans. The genome of D. melanogaster was sequenced in 2000, reflecting the organism's important role in biological research. It was found that 70% of the fly genome is similar to the human genome, supporting the evolution theory. <br> <hr size=""2""> <strong>Question: What is a common insect used for research purposes?</Strong>"
572689fef1498d1400e8e32b,Mexico_City,"The World Bank has sponsored a project to curb air pollution through public transport improvements and the Mexican government has started shutting down polluting factories. They have phased out diesel buses and mandated new emission controls on new cars; since 1993 all new cars must be fitted with a catalytic converter, which reduces the emissions released. Trucks must use only liquefied petroleum gas (LPG). Also construction of an underground rail system was begun in 1968 in order to help curb air pollution problems and alleviate traffic congestion. Today it has over 201 km (125 mi) of track and carries over 5 million people every day. Fees are kept low to encourage use of the system and during rush hours the crush is so great, that authorities have reserved a special carriage specifically for women. Due to these initiatives and others, the air quality in Mexico City has begun to improve, with the air becoming cleaner since 1991, when the air quality was declared to be a public health risk for 355 days of the year.[citation needed]",How many days of the year in 1991 was the air pollution a serious health risk?,"{'text': ['355'], 'answer_start': [1010]}","The World Bank has sponsored a project to curb air pollution through public transport improvements and the Mexican government has started shutting down polluting factories. They have phased out diesel buses and mandated new emission controls on new cars; since 1993 all new cars must be fitted with a catalytic converter, which reduces the emissions released. Trucks must use only liquefied petroleum gas (LPG). Also construction of an underground rail system was begun in 1968 in order to help curb air pollution problems and alleviate traffic congestion. Today it has over 201 km (125 mi) of track and carries over 5 million people every day. Fees are kept low to encourage use of the system and during rush hours the crush is so great, that authorities have reserved a special carriage specifically for women. Due to these initiatives and others, the air quality in Mexico City has begun to improve, with the air becoming cleaner since 1991, when the air quality was declared to be a public health risk for 355 days of the year.[citation needed] <br> <hr size=""2""> <strong>Question: How many days of the year in 1991 was the air pollution a serious health risk?</Strong>"
570cf1b5fed7b91900d45b2d,Macintosh,"In 1982, Regis McKenna was brought in to shape the marketing and launch of the Macintosh. Later the Regis McKenna team grew to include Jane Anderson, Katie Cadigan and Andy Cunningham, who eventually led the Apple account for the agency. Cunningham and Anderson were the primary authors of the Macintosh launch plan. The launch of the Macintosh pioneered many different tactics that are used today in launching technology products, including the ""multiple exclusive,"" event marketing (credited to John Sculley, who brought the concept over from Pepsi), creating a mystique around a product and giving an inside look into a product's creation.",Who was brought in to shape the marketing of Macintosh in 1982?,"{'text': ['Regis McKenna'], 'answer_start': [9]}","In 1982, Regis McKenna was brought in to shape the marketing and launch of the Macintosh. Later the Regis McKenna team grew to include Jane Anderson, Katie Cadigan and Andy Cunningham, who eventually led the Apple account for the agency. Cunningham and Anderson were the primary authors of the Macintosh launch plan. The launch of the Macintosh pioneered many different tactics that are used today in launching technology products, including the ""multiple exclusive,"" event marketing (credited to John Sculley, who brought the concept over from Pepsi), creating a mystique around a product and giving an inside look into a product's creation. <br> <hr size=""2""> <strong>Question: Who was brought in to shape the marketing of Macintosh in 1982?</Strong>"
572766fdf1498d1400e8f779,Botany,"Plant physiology encompasses all the internal chemical and physical activities of plants associated with life. Chemicals obtained from the air, soil and water form the basis of all plant metabolism. The energy of sunlight, captured by oxygenic photosynthesis and released by cellular respiration, is the basis of almost all life. Photoautotrophs, including all green plants, algae and cyanobacteria gather energy directly from sunlight by photosynthesis. Heterotrophs including all animals, all fungi, all completely parasitic plants, and non-photosynthetic bacteria take in organic molecules produced by photoautotrophs and respire them or use them in the construction of cells and tissues. Respiration is the oxidation of carbon compounds by breaking them down into simpler structures to release the energy they contain, essentially the opposite of photosynthesis.",Where do plants get their energy?,"{'text': ['sunlight'], 'answer_start': [213]}","Plant physiology encompasses all the internal chemical and physical activities of plants associated with life. Chemicals obtained from the air, soil and water form the basis of all plant metabolism. The energy of sunlight, captured by oxygenic photosynthesis and released by cellular respiration, is the basis of almost all life. Photoautotrophs, including all green plants, algae and cyanobacteria gather energy directly from sunlight by photosynthesis. Heterotrophs including all animals, all fungi, all completely parasitic plants, and non-photosynthetic bacteria take in organic molecules produced by photoautotrophs and respire them or use them in the construction of cells and tissues. Respiration is the oxidation of carbon compounds by breaking them down into simpler structures to release the energy they contain, essentially the opposite of photosynthesis. <br> <hr size=""2""> <strong>Question: Where do plants get their energy?</Strong>"
