Word	Label	Schema
demographic*	Cultural Identity	Issue-General
english	Cultural Identity	Issue-General
spanish	Cultural Identity	Issue-General
integrat*	Cultural Identity	Issue-General
assimil*	Cultural Identity	Issue-General
foreigner*	Cultural Identity	Issue-General
nation of immigrants	Cultural Identity	Issue-General
film*	Cultural Identity	Issue-General
movie*	Cultural Identity	Issue-General
music*	Cultural Identity	Issue-General
artist*	Cultural Identity	Issue-General
foods	Cultural Identity	Issue-General
cuisine*	Cultural Identity	Issue-General
trend*	Cultural Identity	Issue-General
islamist*	Cultural Identity	Issue-General
mexicans	Cultural Identity	Issue-General
moral	Morality and Ethics	Issue-General
immoral	Morality and Ethics	Issue-General
inhumane	Morality and Ethics	Issue-General
catholic	Morality and Ethics	Issue-General
god	Morality and Ethics	Issue-General
church*	Morality and Ethics	Issue-General
faith	Morality and Ethics	Issue-General
rev	Morality and Ethics	Issue-General
humane	Morality and Ethics	Issue-General
principles	Morality and Ethics	Issue-General
humanitarian*	Morality and Ethics	Issue-General
plight	Morality and Ethics	Issue-General
relig*	Morality and Ethics	Issue-General
christian*	Morality and Ethics	Issue-General
vulnerab*	Morality and Ethics	Issue-General
nazi*	Morality and Ethics	Issue-General
concentration camp*	Morality and Ethics	Issue-General
ethic*	Morality and Ethics	Issue-General
bible	Morality and Ethics	Issue-General
demonstrator*	Public Sentiment	Issue-General
poll*	Public Sentiment	Issue-General
protest*	Public Sentiment	Issue-General
rally	Public Sentiment	Issue-General
rallies	Public Sentiment	Issue-General
organizers	Public Sentiment	Issue-General
activists	Public Sentiment	Issue-General
boycott*	Public Sentiment	Issue-General
survey*	Public Sentiment	Issue-General
strike	Public Sentiment	Issue-General
forum	Public Sentiment	Issue-General
gathering	Public Sentiment	Issue-General
marched	Public Sentiment	Issue-General
marches	Public Sentiment	Issue-General
marching	Public Sentiment	Issue-General
riot*	Public Sentiment	Issue-General
petition*	Public Sentiment	Issue-General
poll*	Public Sentiment	Issue-General
boehner	Political Factors and Implications	Issue-General
re-election	Political Factors and Implications	Issue-General
party's	Political Factors and Implications	Issue-General
gop	Political Factors and Implications	Issue-General
romney	Political Factors and Implications	Issue-General
mccain	Political Factors and Implications	Issue-General
republican*	Political Factors and Implications	Issue-General
reid	Political Factors and Implications	Issue-General
democrat*	Political Factors and Implications	Issue-General
rubio	Political Factors and Implications	Issue-General
senator*	Political Factors and Implications	Issue-General
president*	Political Factors and Implications	Issue-General
prime minister*	Political Factors and Implications	Issue-General
candidate*	Political Factors and Implications	Issue-General
tancredo	Political Factors and Implications	Issue-General
caucus	Political Factors and Implications	Issue-General
congressman	Political Factors and Implications	Issue-General
schumer	Political Factors and Implications	Issue-General
nominee*	Political Factors and Implications	Issue-General
hillary	Political Factors and Implications	Issue-General
party	Political Factors and Implications	Issue-General
politically	Political Factors and Implications	Issue-General
conservatives	Political Factors and Implications	Issue-General
senate	Political Factors and Implications	Issue-General
lobby*	Political Factors and Implications	Issue-General
lobbied	Political Factors and Implications	Issue-General
partisan*	Political Factors and Implications	Issue-General
bipartisan*	Political Factors and Implications	Issue-General
vote*	Political Factors and Implications	Issue-General
voting	Political Factors and Implications	Issue-General
elect	Political Factors and Implications	Issue-General
elects	Political Factors and Implications	Issue-General
elected	Political Factors and Implications	Issue-General
election*	Political Factors and Implications	Issue-General
gerrymander*	Political Factors and Implications	Issue-General
campaign*	Political Factors and Implications	Issue-General
liberal*	Political Factors and Implications	Issue-General
conservative*	Political Factors and Implications	Issue-General
the left	Political Factors and Implications	Issue-General
leftist*	Political Factors and Implications	Issue-General
left-wing	Political Factors and Implications	Issue-General
the right	Political Factors and Implications	Issue-General
right-wing	Political Factors and Implications	Issue-General
democrat*	Political Factors and Implications	Issue-General
republican*	Political Factors and Implications	Issue-General
dems	Political Factors and Implications	Issue-General
libs	Political Factors and Implications	Issue-General
libertarian*	Political Factors and Implications	Issue-General
libtard*	Political Factors and Implications	Issue-General
governor*	Political Factors and Implications	Issue-General
congress*	Political Factors and Implications	Issue-General
senat*	Political Factors and Implications	Issue-General
dnc	Political Factors and Implications	Issue-General
rnc	Political Factors and Implications	Issue-General
pelosi	Political Factors and Implications	Issue-General
obama	Political Factors and Implications	Issue-General
trump	Political Factors and Implications	Issue-General
sanders	Political Factors and Implications	Issue-General
bernie	Political Factors and Implications	Issue-General
biden	Political Factors and Implications	Issue-General
clinton	Political Factors and Implications	Issue-General
hillary	Political Factors and Implications	Issue-General
mcconnell	Political Factors and Implications	Issue-General
bush	Political Factors and Implications	Issue-General
cruz	Political Factors and Implications	Issue-General
warren	Political Factors and Implications	Issue-General
pence	Political Factors and Implications	Issue-General
mccain	Political Factors and Implications	Issue-General
romney	Political Factors and Implications	Issue-General
rubio	Political Factors and Implications	Issue-General
palin	Political Factors and Implications	Issue-General
potus	Political Factors and Implications	Issue-General
government*	Political Factors and Implications	Issue-General
parliament*	Political Factors and Implications	Issue-General
pm	Political Factors and Implications	Issue-General
mp	Political Factors and Implications	Issue-General
labour	Political Factors and Implications	Issue-General
tory	Political Factors and Implications	Issue-General
tories	Political Factors and Implications	Issue-General
johnson	Political Factors and Implications	Issue-General
farage	Political Factors and Implications	Issue-General
ukip	Political Factors and Implications	Issue-General
corbyn	Political Factors and Implications	Issue-General
cameron	Political Factors and Implications	Issue-General
blair	Political Factors and Implications	Issue-General
raab	Political Factors and Implications	Issue-General
khan	Political Factors and Implications	Issue-General
miliband	Political Factors and Implications	Issue-General
orban	Political Factors and Implications	Issue-General
merkel	Political Factors and Implications	Issue-General
macron	Political Factors and Implications	Issue-General
le pen	Political Factors and Implications	Issue-General
hollande	Political Factors and Implications	Issue-General
sarkozy	Political Factors and Implications	Issue-General
kurz	Political Factors and Implications	Issue-General
medvedev	Political Factors and Implications	Issue-General
putin	Political Factors and Implications	Issue-General
erdogan	Political Factors and Implications	Issue-General
drumpf	Political Factors and Implications	Issue-General
chancellor	Political Factors and Implications	Issue-General
muslim brotherhood	Political Factors and Implications	Issue-General
home office	Political Factors and Implications	Issue-General
cost	Economic	Issue-General
unemployment	Economic	Issue-General
costs	Economic	Issue-General
taxpayer*	Economic	Issue-General
wage*	Economic	Issue-General
low-wage	Economic	Issue-General
market	Economic	Issue-General
fee	Economic	Issue-General
dollar*	Economic	Issue-General
income*	Economic	Issue-General
jobs	Economic	Issue-General
fees	Economic	Issue-General
revenue	Economic	Issue-General
industries	Economic	Issue-General
taxes	Economic	Issue-General
budget	Economic	Issue-General
payments	Economic	Issue-General
workforce	Economic	Issue-General
financial	Economic	Issue-General
companies	Economic	Issue-General
industry	Economic	Issue-General
expensive	Economic	Issue-General
costly	Economic	Issue-General
econom*	Economic	Issue-General
tax	Economic	Issue-General
taxes	Economic	Issue-General
taxed	Economic	Issue-General
taxing	Economic	Issue-General
funds	Economic	Issue-General
funding	Economic	Issue-General
funded	Economic	Issue-General
money	Economic	Issue-General
euros	Economic	Issue-General
dollars	Economic	Issue-General
labor	Economic	Issue-General
worker*	Economic	Issue-General
employ*	Economic	Issue-General
benefit*	Economic	Issue-General
trade*	Economic	Issue-General
wage	Economic	Issue-General
wages	Economic	Issue-General
market*	Economic	Issue-General
financ*	Economic	Issue-General
unemploy*	Economic	Issue-General
welfare	Economic	Issue-General
freeload*	Economic	Issue-General
tarriff*	Economic	Issue-General
mooch*	Economic	Issue-General
cash	Economic	Issue-General
backlog*	Capacity and Resources	Issue-General
capacity	Capacity and Resources	Issue-General
resource*	Capacity and Resources	Issue-General
delays	Capacity and Resources	Issue-General
lottery	Capacity and Resources	Issue-General
supply	Capacity and Resources	Issue-General
surge	Capacity and Resources	Issue-General
limited	Capacity and Resources	Issue-General
shortage*	Capacity and Resources	Issue-General
burden*	Capacity and Resources	Issue-General
surplus	Capacity and Resources	Issue-General
scarc*	Capacity and Resources	Issue-General
strain*	Capacity and Resources	Issue-General
policy	Policy Prescription and Evaluation	Issue-General
ordinance*	Policy Prescription and Evaluation	Issue-General
proposal*	Policy Prescription and Evaluation	Issue-General
daca	Policy Prescription and Evaluation	Issue-General
enact*	Policy Prescription and Evaluation	Issue-General
solutions*	Policy Prescription and Evaluation	Issue-General
regulation*	Policy Prescription and Evaluation	Issue-General
bill's	Policy Prescription and Evaluation	Issue-General
contracts	Policy Prescription and Evaluation	Issue-General
bills	Policy Prescription and Evaluation	Issue-General
legislation	Policy Prescription and Evaluation	Issue-General
brexit	Policy Prescription and Evaluation	Issue-General
grexit	Policy Prescription and Evaluation	Issue-General
policy	Policy Prescription and Evaluation	Issue-General
policies	Policy Prescription and Evaluation	Issue-General
reform*	Policy Prescription and Evaluation	Issue-General
trade deal*	Policy Prescription and Evaluation	Issue-General
executive order*	Policy Prescription and Evaluation	Issue-General
america first	Policy Prescription and Evaluation	Issue-General
americafirst	Policy Prescription and Evaluation	Issue-General
dreamers	Policy Prescription and Evaluation	Issue-General
sentenced	Crime and Punishment	Issue-General
probation	Crime and Punishment	Issue-General
convict*	Crime and Punishment	Issue-General
guilty	Crime and Punishment	Issue-General
smuggling	Crime and Punishment	Issue-General
smuggle*	Crime and Punishment	Issue-General
indict*	Crime and Punishment	Issue-General
jail*	Crime and Punishment	Issue-General
assault*	Crime and Punishment	Issue-General
offense*	Crime and Punishment	Issue-General
gangs	Crime and Punishment	Issue-General
fraud*	Crime and Punishment	Issue-General
misdemeanor*	Crime and Punishment	Issue-General
crime*	Crime and Punishment	Issue-General
crimin*	Crime and Punishment	Issue-General
fraud*	Crime and Punishment	Issue-General
murder*	Crime and Punishment	Issue-General
robber*	Crime and Punishment	Issue-General
theft	Crime and Punishment	Issue-General
trespass*	Crime and Punishment	Issue-General
kill*	Crime and Punishment	Issue-General
deport*	Crime and Punishment	Issue-General
detention	Crime and Punishment	Issue-General
sanctuary cit*	Crime and Punishment	Issue-General
prosecut*	Crime and Punishment	Issue-General
fines	Crime and Punishment	Issue-General
fined	Crime and Punishment	Issue-General
punish*	Crime and Punishment	Issue-General
arrest*	Crime and Punishment	Issue-General
prison*	Crime and Punishment	Issue-General
rape*	Crime and Punishment	Issue-General
rapist*	Crime and Punishment	Issue-General
law-breaking	Crime and Punishment	Issue-General
break* the law	Crime and Punishment	Issue-General
broke the law	Crime and Punishment	Issue-General
injur*	Health and Safety	Issue-General
died	Health and Safety	Issue-General
hospital*	Health and Safety	Issue-General
mutilation	Health and Safety	Issue-General
die	Health and Safety	Issue-General
doctor*	Health and Safety	Issue-General
death*	Health and Safety	Issue-General
health*	Health and Safety	Issue-General
pregnant	Health and Safety	Issue-General
safety	Health and Safety	Issue-General
dead	Health and Safety	Issue-General
emergency	Health and Safety	Issue-General
shelter	Health and Safety	Issue-General
safe	Health and Safety	Issue-General
danger	Health and Safety	Issue-General
dangerous	Health and Safety	Issue-General
violence	Health and Safety	Issue-General
disease*	Health and Safety	Issue-General
healthcare	Health and Safety	Issue-General
nhs	Health and Safety	Issue-General
hospital*	Health and Safety	Issue-General
kill*	Health and Safety	Issue-General
murder*	Health and Safety	Issue-General
stab*	Health and Safety	Issue-General
wounded	Health and Safety	Issue-General
cdc	Health and Safety	Issue-General
safety	Health and Safety	Issue-General
medic*	Health and Safety	Issue-General
unsafe	Health and Safety	Issue-General
rape*	Health and Safety	Issue-General
fairness	Fairness and Equality	Issue-General
unfair*	Fairness and Equality	Issue-General
equal*	Fairness and Equality	Issue-General
racial	Fairness and Equality	Issue-General
unequal	Fairness and Equality	Issue-General
inequalit*	Fairness and Equality	Issue-General
fair	Fairness and Equality	Issue-General
liberties	Fairness and Equality	Issue-General
exploit*	Fairness and Equality	Issue-General
discriminat*	Fairness and Equality	Issue-General
racis*	Fairness and Equality	Issue-General
xenophobi*	Fairness and Equality	Issue-General
fom	Fairness and Equality	Issue-General
freedom of movement	Fairness and Equality	Issue-General
gerrymander*	Fairness and Equality	Issue-General
civil rights	Fairness and Equality	Issue-General
hijack*	Security and Defense	Issue-General
terror*	Security and Defense	Issue-General
patrol*	Security and Defense	Issue-General
fence	Security and Defense	Issue-General
border*	Security and Defense	Issue-General
secur*	Security and Defense	Issue-General
wall	Security and Defense	Issue-General
fences	Security and Defense	Issue-General
crossings	Security and Defense	Issue-General
invad*	Security and Defense	Issue-General
invasion*	Security and Defense	Issue-General
takeover	Security and Defense	Issue-General
take over	Security and Defense	Issue-General
taking over	Security and Defense	Issue-General
uncontrol*	Security and Defense	Issue-General
open door immigration	Security and Defense	Issue-General
open immigration	Security and Defense	Issue-General
embass*	External Regulation and Reputation	Issue-General
negotiation*	External Regulation and Reputation	Issue-General
trade deal*	External Regulation and Reputation	Issue-General
ambassador*	External Regulation and Reputation	Issue-General
invad*	Threat: Public Order	Issue-Specific
invasion*	Threat: Public Order	Issue-Specific
takeover	Threat: Public Order	Issue-Specific
take over	Threat: Public Order	Issue-Specific
taking over	Threat: Public Order	Issue-Specific
law-breaking	Threat: Public Order	Issue-Specific
break* the law	Threat: Public Order	Issue-Specific
broke the law	Threat: Public Order	Issue-Specific
crimin*	Threat: Public Order	Issue-Specific
inhumane	Victim: Humanitarian	Issue-Specific
humane	Victim: Humanitarian	Issue-Specific
humanitarian*	Victim: Humanitarian	Issue-Specific
nazi*	Victim: Humanitarian	Issue-Specific
concentration camp*	Victim: Humanitarian	Issue-Specific
vulnerab*	Victim: Humanitarian	Issue-Specific
discriminat*	Victim: Discrimination	Issue-Specific
racis*	Victim: Discrimination	Issue-Specific
xenophobi*	Victim: Discrimination	Issue-Specific
exploit*	Victim: Discrimination	Issue-Specific
nation of immigrants	Hero: Cultural Diversity	Issue-Specific
immigrant nation	Hero: Cultural Diversity	Issue-Specific
melting pot	Hero: Cultural Diversity	Issue-Specific
freeload*	Threat: Fiscal	Issue-Specific
mooch*	Threat: Fiscal	Issue-Specific
burden*	Threat: Fiscal	Issue-Specific
